Txhash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0x336cf36e8d47f299d71e23a34afb4290c226ccc104fdbc8c9d36a60874b2f950","Success","Delegate","5598997","2024-03-31 12:38:36","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.0000969"
"0xfbff561e820f4767e6650be6aaf37347b7c2a8ad46710aa01b89ac6e759dcc4a","Success","Mint","5587911","2024-03-29 22:59:24","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00009161"
"0xaee8452adcab1a3b223b19d0d28b71f4970842d1cb2fd4c7637f52dd4f10c1ee","Success","Mint","5587908","2024-03-29 22:58:36","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00009161"
"0xa8055c918a15bb79a86bc15b43ad05f79c3d2b18b6d4ab816de890e0c6b5a56e","Success","Delegate","5587224","2024-03-29 20:33:36","0x18581c3f151547d82075e3904c1135a1d845a9b9","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000023"
"0xf0c9d686c30ea6e98041893835d27459e09191a5921045dcf0766319be03e3ab","Success","Delegate","5587212","2024-03-29 20:31:00","0xeca6f6e3e2480031afbd6105968779b0c849b7e9","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000023"
"0xdf9bf320d382b42f1900445b761f1a29f1cfbc340c1c09c03f138325470db522","Success","Delegate","5587203","2024-03-29 20:29:12","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000023"
"0x716f7d7a4c9ca266f168846c8a3c8b5fd845c4e727a2ac1a0150df443bbc1b08","Success","Mint","5587101","2024-03-29 20:07:36","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000024"
"0xab7e57d7c859294b08134b5714e185d857338e531ab6ed715dbc0188457281f8","Success","Mint","5587098","2024-03-29 20:07:00","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000028"
"0xa66e9f9218dde335b03a9cf58a71e723d9417780a1ed2fece23dfadebe15d1f9","Success","Mint","5586851","2024-03-29 19:14:12","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00000835"
"0x649f161f24b56c268c2342c18483086c1c836fb45f8578cef5b06de0f422399e","Success","Mint","5586787","2024-03-29 19:00:12","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x80DC6B175D08af1d2F11F8396a845267d60eB68a","","0 ETH","0.00001328"
"0x185b582cabc5c49f165bd8c669ad970afd741125f66cdba2d786aea1c6427773","Success","0x61016060","5586607","2024-03-29 18:20:24","0xb900673ea3222bd79316b80798a57658bee8f2b0","","Contract Creation","","0 ETH","0.00197166"
